Oklahoma Lookouts Total known Sites - 29 Last Update - 3/14/2008, 
Name, County, Quad, Lat, Lon, Status, Ownerhip, BM, Photo, 
Bear Mountain, McCurtain, U/A, 340947, 945557, Unknown, U/A, U/A, U/A, 
Beaver Mountain, Cherokee, U/A, 354014, 944869, Unknown, U/A, U/A, U/A, 
Black Fork Mountain, Le Flore, U/A, 344333, 942924, Removed, Ouachita NF, U/A, U/A, 
Blue Mountain, Le Flore, U/A, 344925, 944626, Removed, Ouachita NF, U/A, U/A, 
Broken Bow, McCurtain, U/A, 340250, 944429, Unknown, U/A, U/A, U/A, 
Buffalo, Delaware, U/A, 344512, 950950, Unknown, U/A, U/A, U/A, 
Carnasaw, McCurtain, U/A, 340849, 943825, Unknown, U/A, U/A, U/A, 
Carter, McCurtain, U/A, 341513, 944650, Unknown, U/A, U/A, U/A, 
Cavanal, Le Flore, U/A, 350434, 954050, Unknown, U/A, U/A, U/A, 
Cloudy, Pushmataha, U/A, 342333, 951504, Unknown, U/A, U/A, U/A, 
Crows Nest, Unknown, U/A, Unknown, Unknown, Removed, Ouachita NF, U/A, U/A, 
Flagpole, Pushmataha, U/A, 343622, 952502, Unknown, U/A, U/A, U/A, 
Flashman, McCurtain, U/A, 342902, 950054, Unknown, U/A, U/A, U/A, 
Flattop, Pushmataha, U/A, 342450, 953827, Unknown, U/A, U/A, U/A, 
Hee Mountain, McCurtain, U/A, 342101, 944214, Unknown, U/A, U/A, U/A, 
Jadie Tower, McCurtain, U/A, Unknown, Unknown, Standing, Ouachita NF, U/A, U/A, 
Jay, Delaware, U/A, 362640, 944832, Unknown, U/A, U/A, U/A, 
Kiamachi, Le Flore, U/A, 343749, 944901, Unknown, U/A, U/A, U/A, 
Lone Prarie, Delaware, U/A, 361602, 944650, Unknown, U/A, U/A, U/A, 
Polecat, Le Flore, U/A, 343556, 942761, Removed, Ouachita NF, U/A, U/A, 
Rose, Delaware, U/A, 361005, 950150, Unknown, U/A, U/A, U/A, 
Round Mountain, Adair, U/A, 353849, 953150, Unknown, U/A, U/A, U/A, 
Signal, Pushmataha, U/A, 341950, 950335, Unknown, U/A, U/A, U/A, 
Sobol, Choctaw, U/A, 340800, 951432, Unknown, U/A, U/A, U/A, 
Sycamore, Le Flore, U/A, 344650, 945403, Removed, Ouachita NF, U/A, U/A, 
Tiak Tower, McCurtain, U/A, Unknown, Unknown, Standing, Ouachita NF, U/A, U/A, 
Tom Lookout, McCurtain, U/A, Unknown, Unknown, Standing, Ouachita NF, U/A, U/A, 
Walnut Mountain, Le Flore, U/A, 343423, 943029, Removed, Ouachita NF, U/A, U/A, 
Winding Stair, Le Flore, U/A, 344249, 944055, Removed, Ouachita NF, U/A, U/A, 
, , , , , , , , , 
Totals: Total standing active - Undetermined Total standing inactive - Undetermined Total no longer standing - Undetermined, 
Notes: OK Tower information sources - Michael Pfeiffer and OK Foresty Division Maps., Key: U/A - Unavailable at this time, 
